articles
0 - r^2: 0.00461353940442, back_window: 20100, window: 1800, margin: 0.004
1 - r^2: 0.0148976530699, back_window: 18600, window: 1800, margin: 0.004
2 - r^2: 0.00520025289356, back_window: 37800, window: 1800, margin: 0.004
0 - r^2: 0.0187761515059, back_window: 23700, window: 1800, margin: 0.004
1 - r^2: 0.00584457721462, back_window: 1500, window: 1800, margin: 0.004
2 - r^2: 0.00515864416361, back_window: 38400, window: 1800, margin: 0.004
3 - r^2: 0.00642290145803, back_window: 26700, window: 1800, margin: 0.004
4 - r^2: 0.00642290145803, back_window: 26700, window: 1800, margin: 0.004
5 - r^2: 0.00731770965366, back_window: 40200, window: 1800, margin: 0.004
6 - r^2: 0.00543639726781, back_window: 21900, window: 1800, margin: 0.004
7 - r^2: 0.0116607053676, back_window: 6600, window: 1800, margin: 0.004
8 - r^2: 0.00648231418158, back_window: 32100, window: 1800, margin: 0.004
9 - r^2: 0.00572089324218, back_window: 35700, window: 1800, margin: 0.004
10 - r^2: 0.0120883781196, back_window: 15900, window: 1800, margin: 0.004
11 - r^2: 0.00732023249283, back_window: 28500, window: 1800, margin: 0.004
12 - r^2: 0.00564212916039, back_window: 38700, window: 1800, margin: 0.004
13 - r^2: 0.00731770965366, back_window: 40200, window: 1800, margin: 0.004
14 - r^2: 0.00727702217684, back_window: 34200, window: 1800, margin: 0.004
15 - r^2: 0.00457705473962, back_window: 21300, window: 1800, margin: 0.004
16 - r^2: 0.0065223532442, back_window: 41400, window: 1800, margin: 0.004
17 - r^2: 0.0061035812563, back_window: 35100, window: 1800, margin: 0.004
18 - r^2: 0.00543639726781, back_window: 21900, window: 1800, margin: 0.004
19 - r^2: 0.0065223532442, back_window: 41400, window: 1800, margin: 0.004
20 - r^2: 0.00682982421327, back_window: 28200, window: 1800, margin: 0.004
21 - r^2: 0.00793574731716, back_window: 30900, window: 1800, margin: 0.004
22 - r^2: 0.0076552925957, back_window: 30600, window: 1800, margin: 0.004
23 - r^2: 0.00924491334648, back_window: 8400, window: 1800, margin: 0.004
24 - r^2: 0.0139073354069, back_window: 13500, window: 1800, margin: 0.004
25 - r^2: 0.00457705473962, back_window: 21300, window: 1800, margin: 0.004
26 - r^2: 0.00700253869962, back_window: 33000, window: 1800, margin: 0.004
27 - r^2: 0.00816313818126, back_window: 25200, window: 1800, margin: 0.004
28 - r^2: 0.00681274734415, back_window: 42900, window: 1800, margin: 0.004
29 - r^2: 0.0073880579348, back_window: 11700, window: 1800, margin: 0.004
30 - r^2: 0.0065223532442, back_window: 41400, window: 1800, margin: 0.004
31 - r^2: 0.0178248995728, back_window: 23400, window: 1800, margin: 0.004
32 - r^2: 0.00572089324218, back_window: 35700, window: 1800, margin: 0.004
33 - r^2: 0.00646941119006, back_window: 27000, window: 1800, margin: 0.004
34 - r^2: 0.0115363736857, back_window: 13200, window: 1800, margin: 0.004
35 - r^2: 0.0124251058084, back_window: 16500, window: 1800, margin: 0.004
36 - r^2: 0.00584457721462, back_window: 1500, window: 1800, margin: 0.004
37 - r^2: 0.00838443046786, back_window: 40800, window: 1800, margin: 0.004
38 - r^2: 0.00642290145803, back_window: 26700, window: 1800, margin: 0.004
39 - r^2: 0.0149863740362, back_window: 12600, window: 1800, margin: 0.004
40 - r^2: 0.00793574731716, back_window: 30900, window: 1800, margin: 0.004
41 - r^2: 0.0161704976824, back_window: 18300, window: 1800, margin: 0.004
42 - r^2: 0.00571947151238, back_window: 36900, window: 1800, margin: 0.004
43 - r^2: 0.0123174982756, back_window: 12900, window: 1800, margin: 0.004
44 - r^2: 0.00742587224315, back_window: 28800, window: 1800, margin: 0.004
45 - r^2: 0.00626201074614, back_window: 22500, window: 1800, margin: 0.004
46 - r^2: 0.00564212916039, back_window: 38700, window: 1800, margin: 0.004
47 - r^2: 0.00528192468584, back_window: 11100, window: 1800, margin: 0.004
48 - r^2: 0.0171047212885, back_window: 17700, window: 1800, margin: 0.004
49 - r^2: 0.00648231418158, back_window: 32100, window: 1800, margin: 0.004

articles
0 - r^2: 0.0111221159469, back_window: 27000, window: 6300, margin: 0.004
1 - r^2: 0.0144261102489, back_window: 9900, window: 17700, margin: 0.004
2 - r^2: 0.0116546889684, back_window: 29100, window: 6600, margin: 0.004
3 - r^2: 0.0221177163397, back_window: 3600, window: 12000, margin: 0.004
4 - r^2: 0.00555917613397, back_window: 21000, window: 2100, margin: 0.004
5 - r^2: 0.0131444545011, back_window: 39000, window: 6300, margin: 0.004
6 - r^2: 0.00797670178116, back_window: 36000, window: 3900, margin: 0.004
7 - r^2: 0.013885431985, back_window: 26700, window: 19500, margin: 0.004
8 - r^2: 0.0126101684449, back_window: 21000, window: 7500, margin: 0.004
9 - r^2: 0.0121781713067, back_window: 33600, window: 15900, margin: 0.004
10 - r^2: 0.0211378902283, back_window: 43200, window: 900, margin: 0.004
11 - r^2: 0.01282726246, back_window: 6900, window: 19500, margin: 0.004
12 - r^2: 0.0128852582245, back_window: 12300, window: 2100, margin: 0.004
13 - r^2: 0.0122218683405, back_window: 27300, window: 4200, margin: 0.004
14 - r^2: 0.0089141136633, back_window: 34800, window: 5100, margin: 0.004
15 - r^2: 0.00984132973531, back_window: 33600, window: 6300, margin: 0.004
16 - r^2: 0.0148056899383, back_window: 17400, window: 13500, margin: 0.004
17 - r^2: 0.0133863343148, back_window: 20100, window: 5700, margin: 0.004
18 - r^2: 0.00538017608541, back_window: 19800, window: 1800, margin: 0.004
19 - r^2: 0.0141910476626, back_window: 22800, window: 19800, margin: 0.004
20 - r^2: 0.0303093571074, back_window: 300, window: 3900, margin: 0.004
21 - r^2: 0.012440647588, back_window: 30300, window: 6300, margin: 0.004
22 - r^2: 0.0180607225826, back_window: 11100, window: 15300, margin: 0.004
23 - r^2: 0.00690766599375, back_window: 33600, window: 1800, margin: 0.004
24 - r^2: 0.0209854188149, back_window: 3600, window: 9900, margin: 0.004
25 - r^2: 0.0130612338573, back_window: 9000, window: 17400, margin: 0.004
26 - r^2: 0.0146040102988, back_window: 6600, window: 15300, margin: 0.004
27 - r^2: 0.0123958855404, back_window: 39900, window: 14100, margin: 0.004
28 - r^2: 0.0122950541058, back_window: 28800, window: 14700, margin: 0.004
29 - r^2: 0.0119412745854, back_window: 42000, window: 600, margin: 0.004
30 - r^2: 0.0147286433136, back_window: 9600, window: 13500, margin: 0.004
31 - r^2: 0.0111582182246, back_window: 33300, window: 6600, margin: 0.004
32 - r^2: 0.00736716169411, back_window: 30600, window: 1500, margin: 0.004
33 - r^2: 0.0128411337166, back_window: 16500, window: 18900, margin: 0.004
34 - r^2: 0.0113301262432, back_window: 33600, window: 19200, margin: 0.004
35 - r^2: 0.0160039586449, back_window: 15600, window: 5700, margin: 0.004
36 - r^2: 0.0170973444368, back_window: 600, window: 16800, margin: 0.004
37 - r^2: 0.0126830813729, back_window: 1200, window: 11400, margin: 0.004
38 - r^2: 0.0136158910245, back_window: 35700, window: 11700, margin: 0.004
39 - r^2: 0.0037846950457, back_window: 21000, window: 1200, margin: 0.004
40 - r^2: 0.01424086529, back_window: 900, window: 18600, margin: 0.004
41 - r^2: 0.0156720548236, back_window: 10500, window: 20400, margin: 0.004
42 - r^2: 0.00885861520086, back_window: 6000, window: 4500, margin: 0.004
43 - r^2: 0.0136192875897, back_window: 36900, window: 11400, margin: 0.004
44 - r^2: 0.0153737588624, back_window: 5100, window: 13500, margin: 0.004
45 - r^2: 0.0143310801482, back_window: 27000, window: 18300, margin: 0.004
46 - r^2: 0.0101199588864, back_window: 43200, window: 3600, margin: 0.004
47 - r^2: 0.0196399679421, back_window: 15600, window: 12000, margin: 0.004
48 - r^2: 0.00655988119472, back_window: 26700, window: 3000, margin: 0.004
49 - r^2: 0.0240466089028, back_window: 24300, window: 1500, margin: 0.004

conversations
0 - r^2: 0.0543494886837, back_window: 36900, window: 13800, margin: 0.005
1 - r^2: 0.0258564781114, back_window: 13800, window: 16200, margin: 0.005
2 - r^2: 0.0224030206846, back_window: 3900, window: 16500, margin: 0.005
3 - r^2: 0.0478628546566, back_window: 39300, window: 12900, margin: 0.005
4 - r^2: 0.0062116915609, back_window: 37800, window: 7500, margin: 0.005
5 - r^2: 0.0133283340366, back_window: 12600, window: 10800, margin: 0.005
6 - r^2: 0.0142761704301, back_window: 35700, window: 3300, margin: 0.005
7 - r^2: 0.0645963625041, back_window: 36900, window: 19500, margin: 0.005
8 - r^2: 0.0340763393526, back_window: 2100, window: 11700, margin: 0.005
9 - r^2: 0.0228488205976, back_window: 8400, window: 3900, margin: 0.005
10 - r^2: 0.0147517367578, back_window: 5400, window: 21000, margin: 0.005
11 - r^2: 0.015288447224, back_window: 7200, window: 19800, margin: 0.005
12 - r^2: 0.0667199215146, back_window: 41400, window: 14400, margin: 0.005
13 - r^2: 0.0183481785225, back_window: 4200, window: 18900, margin: 0.005
14 - r^2: 0.00650978661837, back_window: 13500, window: 8400, margin: 0.005
15 - r^2: 0.00865730909085, back_window: 15600, window: 7500, margin: 0.005
16 - r^2: 0.0170054367612, back_window: 28800, window: 8700, margin: 0.005
17 - r^2: 0.0174247447842, back_window: 3300, window: 3300, margin: 0.005
18 - r^2: 0.00657113145954, back_window: 2700, window: 1200, margin: 0.005
19 - r^2: 0.0203385555611, back_window: 8400, window: 21300, margin: 0.005
20 - r^2: 0.0370134897394, back_window: 2700, window: 14400, margin: 0.005
21 - r^2: 0.0646698268949, back_window: 38400, window: 18300, margin: 0.005
22 - r^2: 0.0191459565396, back_window: 30900, window: 9000, margin: 0.005
23 - r^2: 0.00600382268734, back_window: 2100, window: 1500, margin: 0.005
24 - r^2: 0.0170393932977, back_window: 4200, window: 13200, margin: 0.005
25 - r^2: 0.0153449323068, back_window: 24900, window: 6000, margin: 0.005
26 - r^2: 0.0258623316828, back_window: 14700, window: 15000, margin: 0.005
27 - r^2: 0.0135639029457, back_window: 5700, window: 18900, margin: 0.005
28 - r^2: 0.00821898819602, back_window: 15000, window: 8400, margin: 0.005
29 - r^2: 0.00862771022755, back_window: 42900, window: 4800, margin: 0.005
30 - r^2: 0.0492641430219, back_window: 42900, window: 10200, margin: 0.005
31 - r^2: 0.0175774503757, back_window: 4200, window: 13500, margin: 0.005
32 - r^2: 0.0136991106517, back_window: 4800, window: 11100, margin: 0.005
